Control Code,Parent Control Code,Domain,Control Type,Description,SOC 2 Direct Mapping,SOC 2 Inherited Mapping,SOC 2 Effective Mapping,CIS IG1 Mapping,Suggested Evidence Examples,Evidence Keywords,Recommendation Template,Source
CT-1,,Custom / Technical Baseline,Parent Control,Retain datastore backups,,,,,Technical control configuration screenshot; Cloud service configuration export; Infrastructure-as-code evidence; Operational monitoring evidence,retain; datastore; backups,"Document the technical baseline control, retain configuration evidence, and map it to applicable SOC 2 criteria during review.",Secureframe-derived sanitized control export
CT-5,,Custom / Technical Baseline,Parent Control,Load balancers,,,,,Technical control configuration screenshot; Cloud service configuration export; Infrastructure-as-code evidence; Operational monitoring evidence,load; balancers,"Document the technical baseline control, retain configuration evidence, and map it to applicable SOC 2 criteria during review.",Secureframe-derived sanitized control export
IR-03,,Incident Response,Parent Control,"After any identified security incident has been resolved, management provides a ""Lessons Learned"" document to the team in order to continually improve security and operations.","CC7.4, CC7.5",,"CC7.4, CC7.5",,Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,after; identified; security; incident; been; resolved; management; provides; lessons; learned; document; team; order; continually; improve; operations,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
NET-01,,Network & Endpoint Security,Parent Control,"The organization endpoints are managed and configured with a strong password policy, anti-virus, and hard drive encryption.","C1.1, CC6.1, CC6.7, CC6.8",,"C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_3_3.6,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,endpoints; managed; configured; strong; password; anti; virus; hard; drive; encryption,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-01-11,NET-01,Network & Endpoint Security,Child / Implementation Control,Enforce configurations and monitoring for automatic security updates and local firewalls on user endpoints.,,"C1.1, CC6.1, CC6.7, CC6.8","C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_4_4.1,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,enforce; configurations; monitoring; automatic; security; updates; local; firewalls; endpoints,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-01-12,NET-01,Network & Endpoint Security,Child / Implementation Control,Enforce configuration and monitoring for local firewalls on user endpoints.,,"C1.1, CC6.1, CC6.7, CC6.8","C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_4_4.5,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,enforce; configuration; monitoring; local; firewalls; endpoints,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-01-2,NET-01,Network & Endpoint Security,Child / Implementation Control,Session timeout and screen lock configurations are managed.,,"C1.1, CC6.1, CC6.7, CC6.8","C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_4_4.3,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,session; timeout; screen; lock; configurations; managed,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-01-7,NET-01,Network & Endpoint Security,Child / Implementation Control,"Ensure all anti-malware software is kept current, performs periodic scanning and generates audit logs.",,"C1.1, CC6.1, CC6.7, CC6.8","C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_10_10.2,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,ensure; anti; malware; software; kept; current; performs; periodic; scanning; generates; audit; logs,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-02,,Network & Endpoint Security,Parent Control,Security tools are implemented to provide monitoring of network traffic to the production environment.,"CC6.6, CC7.1, CC7.2",,"CC6.6, CC7.1, CC7.2",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,security; tools; implemented; provide; monitoring; network; traffic; production; environment,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-03-17,NET-03,Network & Endpoint Security,Child / Implementation Control,"Firewall rulesets, protocols, and network security groups are configured in infrastructure systems.",,"CC6.1, CC6.6","CC6.1, CC6.6",CIS_IG1_4_4.4,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,firewall; rulesets; protocols; network; security; groups; configured; infrastructure,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-03-5-1,NET-03,Network & Endpoint Security,Child / Implementation Control,"Security measures are implemented for infrastructure systems, including restricting access, disabling unnecessary features, and configuring least functionality for protocols and services.",,"CC6.1, CC6.6","CC6.1, CC6.6",CIS_IG1_4_4.6,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,security; measures; implemented; infrastructure; including; restricting; disabling; unnecessary; features; configuring; least; functionality; protocols; services,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-06-5,NET-06,Network & Endpoint Security,Child / Implementation Control,A data-flow diagram is maintained.,"PI1.1, PI1.3","CC2.2, CC5.3, CC6.6, CC7.2","CC2.2, CC5.3, CC6.6, CC7.2, PI1.1, PI1.3",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,flow; diagram,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-24,,Network & Endpoint Security,Parent Control,Domain Name System Security Extensions (DNSSEC) has been implemented in order to provide data origin authentication and integrity verification.,,,,CIS_IG1_9_9.2,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,domain; name; security; extensions; dnssec; been; implemented; order; provide; origin; authentication; integrity; verification,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
ORG-04,,Governance / Organization,Parent Control,Internal personnel are evaluated via a formal performance review at least annually,"CC1.1, CC1.4, CC1.5",,"CC1.1, CC1.4, CC1.5",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,internal; evaluated; formal; performance; least; annually,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-06,,Governance / Organization,Parent Control,"Management maintains a formal organizational chart to clearly identify positions of authority and the lines of communication, and publishes the organizational chart to internal personnel.","CC1.3, CC1.5",,"CC1.3, CC1.5",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,management; maintains; formal; organizational; chart; clearly; identify; positions; authority; lines; communication; publishes; internal,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-07,,Governance / Organization,Parent Control,"Background checks or their equivalent are performed before or promptly after a new hires start date, as permitted by local laws.",CC1.4,,CC1.4,,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,background; checks; their; equivalent; performed; before; promptly; after; hires; start; date; permitted; local; laws,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-09-4,ORG-09,Governance / Organization,Child / Implementation Control,Review and update role-based training content annually.,,"CC1.4, CC2.2","CC1.4, CC2.2",CIS_IG1_14_14.1,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,update; role; training; content; annually,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-10-1,ORG-10,Governance / Organization,Child / Implementation Control,A policy is in place to govern the acceptable use of assets and information.,,"CC5.3, CC6.7, CC6.8","CC5.3, CC6.7, CC6.8",CIS_IG1_14_14.8,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,place; govern; acceptable; assets; information,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-10-11,ORG-10,Governance / Organization,Child / Implementation Control,A policy is in place to govern the acceptable use of assets and information.,,"CC5.3, CC6.7, CC6.8","CC5.3, CC6.7, CC6.8",CIS_IG1_2_2.3,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,place; govern; acceptable; assets; information,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-14,,Governance / Organization,Parent Control,"An Internal Control Policy identifies how a system of controls should be maintained to safeguard assets, promote operational efficiency, and encourage adherence to prescribed managerial policies.","CC1.1, CC1.4, CC1.5, CC4.1, CC5.1, CC5.2, CC5.3",,"CC1.1, CC1.4, CC1.5, CC4.1, CC5.1, CC5.2, CC5.3",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,internal; identifies; should; safeguard; assets; promote; operational; efficiency; encourage; adherence; prescribed; managerial; policies,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-16-1,ORG-16,Governance / Organization,Child / Implementation Control,"Management is responsible for the design, implementation, and management of the organization’s security policies and procedures. The policies and procedures are reviewed by management at least annually.",,CC5.3,CC5.3,CIS_IG1_17_17.1,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,management; responsible; design; implementation; security; policies; procedures; least; annually,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-17,,Governance / Organization,Parent Control,Internal personnel review and accept applicable information security policies at least annually.,CC5.3,,CC5.3,,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,internal; accept; information; security; policies; least; annually,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-18,,Governance / Organization,Parent Control,"Roles and responsibilities related to security [, availability, processing integrity, confidentiality, and privacy] for all personnel and executive roles are outlined in job descriptions and policies, as applicable","CC1.3, CC2.2, CC5.2, CC5.3",,"CC1.3, CC2.2, CC5.2, CC5.3",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,roles; responsibilities; related; security; availability; processing; integrity; confidentiality; privacy; executive; outlined; descriptions; policies,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
PHYS-06,,Physical Security,Parent Control,Repairs and maintenance to physical components within inscope facilities are performed.,CC6.4,,CC6.4,,Physical security policy; Visitor log sample; Physical access review; Facility access control evidence,repairs; maintenance; physical; components; within; inscope; facilities; performed,"Maintain physical security procedures and evidence of visitor controls, access provisioning, review, and facility safeguards.",Secureframe-derived sanitized control export
RA-04,,Risk & Vendor Management,Parent Control,A Vendor Risk Management Policy defines a framework for the onboarding and management of the vendor relationship lifecycle.,"CC5.1, CC5.3, CC9.2, P6.4",,"CC5.1, CC5.3, CC9.2, P6.4",CIS_IG1_15_15.1,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,vendor; risk; management; defines; framework; onboarding; relationship; lifecycle,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
VM-02-11,VM-02,Vulnerability Management,Child / Implementation Control,Enforces automatic security updates on user endpoints and cloud infrastructure patching,,"CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CC2.1, CC3.2, CC4.1, CC4.2, CC7.1",CIS_IG1_7_7.3,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,enforces; automatic; security; updates; endpoints; cloud; infrastructure; patching,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-02-2,VM-02,Vulnerability Management,Child / Implementation Control,System components are patched with the latest security updates.,,"CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CIS_IG1_12_12.1, CIS_IG1_7_7.3",Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,components; patched; latest; security; updates,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-02-9,VM-02,Vulnerability Management,Child / Implementation Control,"Vulnerabilities are monitored using organization-defined frequency and tools, ensuring the capability to easily update scanned vulnerabilities.",,"CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CIS_IG1_7_7.1, CIS_IG1_7_7.2",Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,vulnerabilities; monitored; defined; frequency; tools; ensuring; capability; easily; update; scanned,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
